construction_number,leakage_type,leakage,k
7A-AE,supply,0.06,0.811
7A-AE,supply,0.09,0.788
7A-AE,supply,0.12,0.771
7A-AE,supply,0.24,0.752
7A-AE,supply,0.35,0.743
7A-AE,return,0.06,0.189
7A-AE,return,0.15,0.212
7A-AE,return,0.24,0.229
7A-AE,return,0.47,0.248
7A-AE,return,0.7,0.257
7D-AE,supply,0.06,0.0846
7D-AE,supply,0.09,0.081
7D-AE,supply,0.12,0.79
7D-AE,supply,0.24,0.772
7D-AE,supply,0.35,0.764
7D-AE,return,0.06,0.154
7D-AE,return,0.15,0.19
7D-AE,return,0.24,0.21
7D-AE,return,0.47,0.228
7D-AE,return,0.7,0.236
7N,supply,0.06,0.761
7N,supply,0.09,0.72
7N,supply,0.12,0.691
7N,supply,0.24,0.668
7N,supply,0.35,0.654
7N,return,0.06,0.239
7N,return,0.15,0.28
7N,return,0.24,0.309
7N,return,0.47,0.332
7N,return,0.7,0.346
